0,4,9,12,16,20,41,54,70,74,86
2,6,11,12,18,20,39,52,69,82,87
3,6,9,12,19,27,35,57,70,81,86
2,4,10,14,19,31,39,58,59,76,85
3,4,11,13,17,26,45,54,61,82,85
0,7,10,14,16,29,35,56,62,76,85
2,7,11,12,19,28,34,58,63,83,85
0,5,10,15,18,24,43,51,59,74,85
1,4,11,14,18,20,35,47,59,77,86
1,6,8,14,19,20,39,51,63,81,85
1,6,11,12,17,21,35,55,64,84,85
0,7,9,15,18,24,38,57,68,80,85
0,5,8,14,19,24,40,48,62,77,85
1,7,11,12,17,23,38,50,70,82,85
2,5,9,15,19,21,34,51,62,79,86
1,5,11,14,16,32,37,55,70,84,86
2,5,8,13,16,29,34,58,69,75,85
3,5,8,15,16,22,36,57,71,81,85
3,4,9,15,16,25,41,57,59,77,86
1,4,10,12,16,26,39,46,70,74,86
0,6,10,12,16,21,40,52,71,81,85
0,7,10,14,19,27,41,54,62,78,86
2,6,9,15,19,20,37,58,60,77,85
1,6,9,14,18,30,45,48,60,74,86
2,5,11,12,19,27,33,57,69,79,86
3,4,11,14,19,28,39,46,59,75,86
2,7,8,14,18,30,45,47,67,77,85
3,6,11,15,19,26,36,47,71,81,85
3,7,8,14,17,25,35,56,68,77,86
3,7,9,15,18,24,42,48,70,82,85
0,4,10,12,16,28,39,58,71,75,86
2,4,10,12,18,24,45,46,69,77,85
3,4,9,15,16,25,35,52,62,78,86
0,4,11,14,19,29,36,56,62,81,87
2,4,9,13,19,26,33,50,69,79,85
2,6,9,15,18,26,38,57,59,72,86
1,4,8,13,17,32,41,56,67,77,86
3,5,11,12,17,32,41,52,59,73,85
1,7,8,13,18,29,37,51,70,81,86
1,7,10,13,18,30,38,58,62,72,85
1,5,11,13,19,21,43,47,63,78,86
2,6,9,15,16,20,37,58,64,84,86
3,5,10,14,17,29,40,54,70,81,86
0,6,8,14,17,20,43,56,65,84,86
1,4,11,15,17,24,34,47,68,83,86
3,5,10,13,16,22,42,48,66,73,86
2,7,8,14,18,31,38,49,60,82,85
0,7,11,12,19,28,40,48,69,81,85
3,4,10,12,18,23,43,48,59,75,86
2,6,11,12,19,23,44,54,68,76,85
2,5,8,14,16,30,45,49,60,74,85
2,4,9,15,18,20,43,56,70,76,86
2,6,9,14,17,30,42,56,62,76,86
0,4,10,14,16,24,45,49,66,79,86
2,6,9,15,16,22,38,52,69,75,85
0,7,11,14,17,30,36,54,66,77,85
1,6,8,15,18,27,37,51,66,81,86
2,4,10,15,16,23,37,46,61,84,85
3,7,8,13,18,28,33,56,69,82,88
2,7,9,13,17,22,36,56,68,73,85
3,5,9,14,18,23,36,52,67,76,86
2,5,10,15,19,24,39,52,61,83,86
3,7,11,13,18,26,36,57,70,81,86
1,5,8,14,16,24,33,48,62,79,85
3,6,9,12,16,25,36,49,68,76,86
0,5,11,12,18,22,44,55,69,76,85
3,7,11,12,17,29,45,54,71,74,86
1,6,11,14,18,28,40,48,70,78,85
1,7,11,12,19,31,44,49,67,74,86
1,7,9,14,19,23,33,50,67,77,85
0,7,8,13,18,20,39,55,66,83,85
2,4,9,14,16,25,42,46,68,79,86
1,7,10,12,16,30,36,51,60,80,85
3,7,9,15,18,24,38,58,66,82,85
3,6,10,12,19,23,34,46,71,81,85
1,7,8,15,16,28,43,55,64,78,85
1,7,11,13,18,21,40,57,71,79,86
0,7,10,15,19,24,44,52,69,76,86
0,7,10,12,19,27,43,54,69,78,86
2,4,11,13,19,23,41,58,71,77,86
3,4,10,12,17,24,40,57,71,74,85
0,5,11,14,19,24,43,55,60,77,85
0,7,8,12,19,28,36,58,64,76,85
0,5,10,13,18,23,42,57,64,79,85
2,6,10,13,16,25,43,55,60,77,86
0,6,10,13,18,28,33,49,68,84,85
2,6,8,13,19,24,42,54,61,83,85
2,6,11,14,17,20,42,51,63,76,86
3,6,8,12,17,27,36,50,69,74,85
1,7,11,14,18,32,40,54,68,84,86
2,7,11,14,19,25,33,52,66,81,85
1,4,11,14,18,32,43,47,66,81,85
0,7,9,13,18,21,44,52,67,82,85
3,5,11,13,19,29,41,53,62,78,85
2,6,9,12,18,20,40,58,66,74,86
3,7,8,13,18,27,35,49,64,79,86
3,5,11,15,16,27,33,47,68,81,86
2,5,8,13,18,25,41,50,71,76,86
3,5,10,15,16,26,43,56,61,72,86
3,5,9,13,18,23,39,54,68,84,85
2,6,8,15,16,23,42,54,70,74,85
3,6,9,15,19,27,45,47,68,76,85
1,4,10,15,17,25,42,50,63,82,86
3,6,9,14,19,26,44,57,66,81,86
2,6,8,12,19,28,40,57,69,79,86
1,6,11,13,18,20,37,56,65,73,85
2,4,9,14,18,28,38,47,64,72,86
3,5,10,13,18,22,35,53,70,75,86
1,7,11,14,17,24,43,54,67,80,88
2,5,8,12,17,22,45,50,70,73,85
0,4,10,14,16,20,41,54,65,75,86
3,6,9,12,16,31,35,55,61,78,86
3,6,9,15,16,32,42,46,67,75,85
0,5,11,12,19,27,39,55,70,75,85
3,6,9,13,19,22,42,53,69,83,85
2,5,8,12,19,26,36,49,71,77,86
0,7,10,12,17,22,41,58,67,83,86
